name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kolkata,01-09-2022,34.7,29,31.1,43.3,34.5,38.9,25.8,73.7,1.789,100,8.33,rain,0,0,31,18.4,205.7,1006.4,53.4,4.2,245.4,21.3,9,30,2022-09-01T05:18:59,2022-09-01T17:54:00,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42807099999,42714099999,42811099999,42805099999,VECC,42812099999,42809099999"
kolkata,02-09-2022,34.4,28.8,31.5,45.2,34.5,39.4,25.7,72.1,0,0,0,,0,0,31.3,20.5,205.7,1006.9,50.1,4.6,230.8,20,7,30,2022-09-02T05:19:17,2022-09-02T17:53:03,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,03-09-2022,34,25.7,30.3,45.3,25.7,37.1,25.3,75.4,5.877,100,8.33,rain,0,0,29.9,25,205.5,1004.2,71.6,3.9,201.2,17.5,9,30,2022-09-03T05:19:35,2022-09-03T17:52:06,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,04-09-2022,34.6,28,29.9,43.8,31.9,36.7,25.7,78.8,8.678,100,8.33,rain,0,0,25.6,22.3,189.5,1003.7,68.4,3.4,200.2,17.3,9,30,2022-09-04T05:19:53,2022-09-04T17:51:09,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,05-09-2022,34,26,29.9,44.1,26,37.2,26.1,80.8,6.906,100,4.17,rain,0,0,46.4,27.7,185.4,1004,67.2,3.1,205.9,17.8,7,30,2022-09-05T05:20:11,2022-09-05T17:50:12,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,06-09-2022,32,26.3,29,42.3,26.3,35.1,25.7,82.7,13.157,100,20.83,rain,0,0,37.1,11.2,228.7,1005.2,83,3.1,243.9,21.2,9,30,2022-09-06T05:20:28,2022-09-06T17:49:14,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,07-09-2022,34.2,27.8,31,43.5,32.7,38.9,26.1,76,0,0,0,rain,0,0,17.6,13,92.9,1005.7,68.6,3.6,200.4,17.2,9,60,2022-09-07T05:20:46,2022-09-07T17:48:15,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,08-09-2022,34.4,28.4,31.1,42.5,34.1,38.5,25.6,73.5,5.676,100,4.17,rain,0,0,20.9,16.6,111.8,1006.6,61,4.2,231.6,20.2,9,60,2022-09-08T05:21:03,2022-09-08T17:47:17,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,09-09-2022,34.2,27,30,45.3,30.6,37,25.8,78.5,0.225,100,4.17,rain,0,0,23.8,22.3,86.7,1006,73.9,3.5,218.2,19.1,9,30,2022-09-09T05:21:21,2022-09-09T17:46:18,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
kolkata,10-09-2022,33,27.7,29,42.3,32.6,34.9,25.5,81.8,4.3,100,12.5,rain,0,0,37.1,24.1,108.5,1004.8,73.6,3.7,254.8,22,9,60,2022-09-10T05:21:38,2022-09-10T17:45:19,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42807099999,42714099999,42811099999,VECC,42812099999,42809099999"
